INFO 2025-09-01 16:22:43,201 autoreload 19016 20684 Watching for file changes with StatReloader
INFO 2025-09-01 16:23:51,540 basehttp 19016 21324 "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 16:23:51,544 basehttp 19016 22168 "GET /api/get-emails/ HTTP/1.1" 200 4477
INFO 2025-09-01 16:23:51,559 basehttp 19016 21324 "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 16:23:51,564 basehttp 19016 22168 "GET /api/get-emails/ HTTP/1.1" 200 4477
INFO 2025-09-01 16:25:20,408 autoreload 19016 20684 D:\AI powered Email Automation - Copy\backend\email_automation_backend\User\views.py changed, reloading.
INFO 2025-09-01 18:01:44,257 autoreload Watching for file changes with StatReloader
WARNING 2025-09-01 18:04:47,635 log Not Found: /api/get-emails/
WARNING 2025-09-01 18:04:47,635 log Not Found: /api/email-accounts/
WARNING 2025-09-01 18:04:47,637 basehttp "GET /api/get-emails/ HTTP/1.1" 404 2696
WARNING 2025-09-01 18:04:47,638 basehttp "GET /api/email-accounts/ HTTP/1.1" 404 2708
WARNING 2025-09-01 18:04:47,650 log Not Found: /api/email-accounts/
WARNING 2025-09-01 18:04:47,654 log Not Found: /api/get-emails/
WARNING 2025-09-01 18:04:47,655 basehttp "GET /api/email-accounts/ HTTP/1.1" 404 2708
WARNING 2025-09-01 18:04:47,655 basehttp "GET /api/get-emails/ HTTP/1.1" 404 2696
WARNING 2025-09-01 18:04:50,508 log Not Found: /api/email-accounts/
WARNING 2025-09-01 18:04:50,521 log Not Found: /api/get-emails/
WARNING 2025-09-01 18:04:50,523 basehttp "GET /api/email-accounts/ HTTP/1.1" 404 2708
WARNING 2025-09-01 18:04:50,527 basehttp "GET /api/get-emails/ HTTP/1.1" 404 2696
WARNING 2025-09-01 18:04:50,563 log Not Found: /api/email-accounts/
WARNING 2025-09-01 18:04:50,573 log Not Found: /api/get-emails/
WARNING 2025-09-01 18:04:50,574 basehttp "GET /api/email-accounts/ HTTP/1.1" 404 2708
WARNING 2025-09-01 18:04:50,576 basehttp "GET /api/get-emails/ HTTP/1.1" 404 2696
WARNING 2025-09-01 18:04:51,450 log Not Found: /api/email-accounts/
WARNING 2025-09-01 18:04:51,469 log Not Found: /api/get-emails/
INFO 2025-09-01 18:04:51,470 basehttp - Broken pipe from ('127.0.0.1', 61605)
INFO 2025-09-01 18:04:51,475 basehttp - Broken pipe from ('127.0.0.1', 58943)
WARNING 2025-09-01 18:04:51,612 log Not Found: /api/email-accounts/
WARNING 2025-09-01 18:04:51,613 basehttp "GET /api/email-accounts/ HTTP/1.1" 404 2708
WARNING 2025-09-01 18:04:51,625 log Not Found: /api/get-emails/
WARNING 2025-09-01 18:04:51,626 basehttp "GET /api/get-emails/ HTTP/1.1" 404 2696
WARNING 2025-09-01 18:04:51,639 log Not Found: /api/email-accounts/
WARNING 2025-09-01 18:04:51,640 basehttp "GET /api/email-accounts/ HTTP/1.1" 404 2708
WARNING 2025-09-01 18:04:51,651 log Not Found: /api/get-emails/
WARNING 2025-09-01 18:04:51,652 basehttp "GET /api/get-emails/ HTTP/1.1" 404 2696
WARNING 2025-09-01 18:04:51,989 log Not Found: /api/get-emails/
WARNING 2025-09-01 18:04:51,998 log Not Found: /api/email-accounts/
WARNING 2025-09-01 18:04:52,000 basehttp "GET /api/get-emails/ HTTP/1.1" 404 2696
WARNING 2025-09-01 18:04:52,001 basehttp "GET /api/email-accounts/ HTTP/1.1" 404 2708
WARNING 2025-09-01 18:04:52,015 log Not Found: /api/get-emails/
WARNING 2025-09-01 18:04:52,025 log Not Found: /api/email-accounts/
WARNING 2025-09-01 18:04:52,026 basehttp "GET /api/get-emails/ HTTP/1.1" 404 2696
WARNING 2025-09-01 18:04:52,028 basehttp "GET /api/email-accounts/ HTTP/1.1" 404 2708
INFO 2025-09-01 18:05:20,279 autoreload C:\Users\ahmad\AppData\Local\Programs\Python\Python313\Lib\site-packages\openai\types\file_deleted.py changed, reloading.
INFO 2025-09-01 18:05:22,210 autoreload Watching for file changes with StatReloader
INFO 2025-09-01 18:05:59,851 autoreload Watching for file changes with StatReloader
WARNING 2025-09-01 18:06:13,394 log Not Found: /api/email-accounts/
WARNING 2025-09-01 18:06:13,394 log Not Found: /api/get-emails/
WARNING 2025-09-01 18:06:13,395 basehttp "GET /api/email-accounts/ HTTP/1.1" 404 2708
WARNING 2025-09-01 18:06:13,397 basehttp "GET /api/get-emails/ HTTP/1.1" 404 2696
WARNING 2025-09-01 18:06:13,406 log Not Found: /api/email-accounts/
WARNING 2025-09-01 18:06:13,413 log Not Found: /api/get-emails/
WARNING 2025-09-01 18:06:13,414 basehttp "GET /api/get-emails/ HTTP/1.1" 404 2696
WARNING 2025-09-01 18:06:13,417 basehttp "GET /api/email-accounts/ HTTP/1.1" 404 2708
INFO 2025-09-01 18:06:14,438 basehttp "OPTIONS /api/connect-email/ HTTP/1.1" 200 0
WARNING 2025-09-01 18:06:14,454 log Not Found: /api/connect-email/
WARNING 2025-09-01 18:06:14,456 basehttp "POST /api/connect-email/ HTTP/1.1" 404 2706
WARNING 2025-09-01 18:06:21,992 log Not Found: /api/connect-email/
WARNING 2025-09-01 18:06:21,993 basehttp "POST /api/connect-email/ HTTP/1.1" 404 2706
WARNING 2025-09-01 18:06:37,207 log Not Found: /api/connect-email/
